x	y
1	-1.62645381074233
668	-0.311843971853945
1335	-1.4107421947596
2003	0.619700744063329
2670	-1.17558439464738
3337	-1.21790554241534
4004	-2.35169392873999
4672	-1.31000262677319
5339	-0.514954361986983
6006	-0.465569527858395
6673	-1.48437883195231
7340	-2.81123203355911
8008	-0.452873797955952
8675	-0.943814655798448
9342	0.334670196650119
10009	-1.24838394878569
10677	-2.22900160139145
11344	1.060410257796
12011	-1.75057316416188
12678	0.622610973133581
13345	-0.606198807863364
14013	-0.169135642386392
14680	-0.669859305777939
15347	0.057468370446724
16014	-2.89569334080671
16682	-1.81315201511117
17349	-0.766549955936859
18016	-0.00995509085638913
18683	-1.4420510404344
19350	-1.53245959323942
20018	0.669806789722889
20685	-1.69177432597264
21352	-1.05309565505555
22019	-2.74898127301175
22687	-1.85169718583902
23354	-0.821927614274561
24021	-2.74501389812283
24688	-0.790042862819895
25355	-0.723230059504833
26023	-2.1504712133167
26690	-0.97777468369193
27357	-1.67539908852952
28024	-1.46160926573012
28692	0.19036184455389
29359	0.96225928072304
30026	-0.983314389773285
30693	-0.988115287685514
31360	-1.41539886651249
32028	-1.1606163017477
32695	-0.971870598791073
33362	0.0980131235501691
34029	-0.295841422577823
34697	-0.0433918983383033
35364	-1.47580115094306
36031	-1.55224432562675
36698	-0.46525729280484
37365	-1.87678243483728
38033	-0.824555296690255
38700	-1.80379218182137
39367	-0.769247886866364
40034	-1.5335041926221
40702	-1.84075063284185
41369	-1.33612774799209
42036	-1.77176840809766
42703	-1.76111519708116
43370	-0.185450714192198
44038	-2.83695085671939
44705	-1.32802223799498
45372	-2.50908876105238
46039	0.675739518758437
46707	-0.338219479140922
47374	-0.654771220025355
48041	-2.36167075594954
48708	-1.71904270880344
49375	-1.26587632584582
50043	0.159391058033806
50710	-4.21996150901956
51377	-2.41450434544477
52044	-0.377863914332035
52712	-1.33513974709606
53379	-0.846175687122301
54046	-1.30912274712002
54713	-2.85437580332311
55380	-1.03594084940138
56048	0.361095150146653
56715	-0.582612743559761
57382	0.151339696191796
58049	0.0085662626349714
58717	-2.01834776127116
59384	0.402196647212311
60051	0.616029451613224
60718	-0.0458279890428281
61385	-0.97751022071957
62053	0.179200581853975
62720	-0.33736020618676
63387	-1.95934981812284
64054	-3.29829982721754
64722	-1.60966553400917
65389	-2.75519341137413
66056	-1.62599188137846
66723	-1.31586838294241
67390	-1.1530913728763
68058	-0.992196334205491
68725	-0.620619653857894
69392	-0.850779553173899
70059	0.212993241480613
70727	-1.32807042162859
71394	-1.32209081533461
72061	-0.129772496998425
72728	-0.882390718695338
73395	-0.335029393284264
74063	-2.56553768387702
74730	-0.399236802477936
75397	-2.22103107291559
76064	-1.37278301680843
76732	-2.07743950430606
77399	-0.482566571633896
78066	-1.89663641205455
78733	-2.88411749171115
79400	-1.7649783079588
80068	-1.4954540681596
80735	-1.29312909477795
81402	-0.181522113811404
82069	-0.581448887037473
82737	-0.797827595475328
83404	-0.732129574811047
84071	-0.100464820513805
